date,white,white elo,black,black elo,resultat,ECO,perf white,perf black,moves,opening,variation,year,nb
2021-03-01,Minorpiece1988,2339,yacine63,2325,1-0,C00,5.0,-5.0, e2e4 e7e6 d2d3 d7d5 d1e2 c7c5 g1f3 g8e7 g2g3 g7g6 f1g2 f8g7 e1g1 e8g8 c2c3 b8c6 e4e5 d5d4 c3c4 d8c7 f1e1 a8b8 c1f4 a7a6 b1d2 b7b5 b2b3 c8b7 a1c1 c7b6 d2e4 b5b4 e4f6 g7f6 e5f6 e7c8 f4b8 c6b8 f3e5 b7g2 g1g2 b8d7 e5d7 b6b7 g2g1 b7d7 e2e5 d7c6 h2h4 c8b6 e1e4 b6d7 e5g5 e6e5 c1e1 f8e8 f2f4 d7f6 e4e5 e8d8 g1f2 h7h6 e5e6 h6g5 e6c6 g5h4 c6f6,French,French e4 e6,2021,1
2021-03-01,SureDo,2340,yacine63,2319,0-1,C05,-6.0,6.0, e2e4 e7e6 d2d4 d7d5 b1d2 g8f6 e4e5 f6d7 f2f4 c7c5 c2c3 b8c6 d2f3 d8b6 g1e2 f8e7 b2b3 c5d4 c3d4 f7f6 c1b2 e8g8 h2h4 f6e5 d4e5 d7c5 f3g5 h7h6 g2g3 h6g5 h4g5 c5e4 e2d4 e7b4 e1e2 e4g3 e2d3 g3h1 d1h5 h1g3 h5h3 c6e7 h3g3 c8d7 g3h3 f8f4 f1e2 b6a6 d3e3 f4e4 e3f2 a6b6,French,Tarrasch Variation,2021,1
2021-03-01,leolko,2193,yacine63,2315,0-1,C00,-4.0,4.0, e2e4 e7e6 g1f3 d7d5 b1c3 d5d4 c3e2 c7c5 c2c3 g8f6 e4e5 f6d7 c3d4 c5d4 e2d4 d7e5 d1a4 e5c6 f1b5 c8d7 e1g1 f8d6 d4c6 b8c6 d2d4 e8g8 c1g5 d8b6 a1c1 a7a6 b5c6 d7c6 a4b3 b6a5 g5d2 a5h5 f3e5 c6d5 b3g3 f7f6,French,French e4 e6,2021,1
2021-03-01,yacine63,2309,Locomotoro,2316,1-0,A86,6.0,-6.0, c2c4 f7f5 d2d4 g8f6 g2g3 g7g6 f1g2 f8g7 b2b3 e8g8 c1b2 d7d6 g1f3 c7c6 e1g1 h7h6 b1c3 g6g5 f3d2 e7e5 d4d5 c6c5 e2e4 f5f4 a2a3 a7a6 b3b4 b7b6 f1e1 d8e8 a1b1 h6h5 d1a4 c8d7 a4b3 h5h4 b4c5 h4g3 h2g3 f4g3 f2g3 f6g4 c5b6 e8h5 d2f1 h5f7 c3d1 a6a5 b6b7 a8a6 f1e3 g7f6 e1f1 f7h5 e3g4 d7g4 d1e3 f6d8 f1f8 g8f8 b1f1 f8g8 b3b5 d8b6 b2c1 g4e2 f1f2 h5h7 f2e2,Dutch,Dutch Defence,2021,1
2021-02-27,yacine63,2315,Amos64,2299,0-1,A10,-6.0,6.0, c2c4 g7g6 g2g3 f8g7 f1g2 e7e5 b1c3 c7c6 e2e4 g8f6 d2d3 e8g8 g1e2 d7d5 e4d5 c6d5 c3d5 f6d5 g2d5 b8c6 e1g1 c8g4 d5c6 b7c6 c1e3 g4f3 h2h3 d8d7 g1h2 f8d8 d1d2 d7d3 d2d3 d8d3 e2g1 e5e4 g1f3 e4f3 a1d1 a8d8 d1d3 d8d3 e3a7 g7b2 f1b1 d3d2 a7e3 d2c2 a2a4 b2c3 g3g4 c2a2 e3h6 c3e5 h2g1 a2a4 b1e1 a4a1 e1a1 e5a1 g1f1 a1c3 h6f4 f7f6 f1g1 g8f7 g1h2 g6g5 f4c7 c3e5 c7e5 f6e5 h2g3 e5e4 h3h4 h7h6,English Opening,ouvertures de flanc diverses,2021,1
2021-02-26,porotito,2336,yacine63,2320,1-0,A05,5.0,-5.0, g1f3 g8f6 e2e3 g7g6 d2d4 f8g7 c2c4 e8g8 f1e2 d7d5 c4d5 f6d5 e3e4 d5b6 e1g1 b8c6 c1e3 c8g4 b1d2 e7e5 d4e5 c6e5 f3e5 g4e2 d1e2 g7e5 d2f3 e5g7 a1c1 f8e8 f1d1 d8e7 e3g5 e7e4 e2e4 e8e4 c1c7 g7b2 c7b7 e4a4 h2h4 a4a2 d1e1 b6d5 e1d1 d5b6 g1h2 h7h5 d1d2 b6c4 d2d7 c4e5 f3e5 b2e5 f2f4 e5c3 d7f7 a7a5 g5f6 c3f6 f7f6 a8f8 f6g6 g8h8 g6a6 h8g8 a6g6 g8h8 g6h6 h8g8 h6h5 f8f4 b7a7 f4g4 h5g5 g4g5 h4g5 a2a3 g2g3 a3a1 h2h3 a5a4 h3g4 a4a3 g4f5 a3a2 f5g6 g8f8 g3g4 f8e8 g6g7 e8d8 g5g6 d8e8 g4g5 e8d8 g7g8 d8e8 g6g7 e8d8 g5g6 d8e8 a7a3 e8e7 a3e3 e7d8 e3e2 d8d7 e2h2,Irregular,ouvertures de flanc diverses,2021,1
2021-02-26,yacine63,2327,kaspablanca19,2249,0-1,D11,-7.0,8.0, c2c4 c7c6 g1f3 d7d5 d2d4 e7e6 e2e3 g8f6 b2b3 f8d6 c1b2 f6e4 f1d3 f7f5 e1g1 b8d7 f3d2 e8g8 f2f3 d6h2 g1h2 d8h4 h2g1 e4g3 b1c3 d7f6 c3e2 f6h5 d1e1 f8f6 f3f4 f6g6 f1f3 h4h1 g1f2 h1h2 e2g3 h5g3 e1g1 h2h4 d2f1 g3e4 f2e2 h4h5 e2d1 b7b5 d3e2 b5c4 f3h3 h5h3 g2h3 g6g1 b3c4 c8a6 c4d5 a6e2 d1e2 c6d5 a1c1 a8b8 b2a3 g1g2 e2e1 g2a2,Queen's Gambit,Slave,2021,1
2021-02-26,yacine63,2334,Zaremdini,2235,0-1,A15,-7.0,8.0, c2c4 g8f6 g2g3 e7e5 f1g2 f8c5 b1c3 e8g8 d2d3 b8c6 g1f3 d7d6 e1g1 h7h6 a2a3 a7a5 h2h3 f8e8 b2b3 c8f5 c1b2 e5e4 f3h4 f5h7 c3a4 e4d3 e2d3 c5a7 d3d4 d8e7 h4f3 e7e2 f1e1 e2d1 a1d1 h7c2 d1d2 c2b3 a4c3 b3c4 e1c1 d6d5 c3a4 f6e4 d2c2 c4b3 c2c3 b3a4,English Opening,English,2021,1
2021-02-26,hbarrilu,2275,yacine63,2330,0-1,D32,-5.0,4.0, d2d4 e7e6 c2c4 d7d5 b1c3 c7c5 e2e3 g8f6 g1f3 a7a6 a2a3 d5c4 f1c4 b7b5 c4d3 c8b7 e1g1 b8d7 d4c5 f8c5 b2b4 c5a7 c1b2 e8g8 d1e2 a8c8 f1d1 d8c7 a1c1 b7c6 c3e4 a7b8 b2f6 g7f6 g2g3 f6f5 e4g5 c7b7 f3h4 d7f6 e2b2 f6g4 h2h3 b8e5 b2b1 e5g3 h3g4 g3h4 g5h3 c6g2 h3f4 b7f3 f4g2 h4f2 g1h2 f5g4 d3h7 g8g7 g2f4 f8h8 f4e6 g7f6 b1b2 f6e6 b2b3 c8c4,QGD,Tarrasch,2021,1
2021-02-26,jdjdejdejy,2423,yacine63,2322,0-1,C00,-8.0,8.0, e2e4 e7e6 d2d3 d7d5 b1d2 c7c5 g1f3 b8c6 g2g3 f8d6 f1g2 g8e7 e1g1 e8g8 f1e1 d8c7 c2c3 c8d7 a2a3 a7a5 a3a4 d5d4 d2c4 e6e5 c3d4 c5d4 c1d2 d6b4 h2h4 f7f6 g1h2 f8b8 d1b3 d7e6 g2h3 e6f7 e1c1 b7b5 a4b5 b8b5 b3d1 b4d2 d1d2 a8b8 a1a2 c7d8 d2e2 b5b3 f3d2 c6b4 a2a3 b4d3 c1a1 b3a3 b2a3 d3c5 e2d1 c5e4 c4e5 e4f2 e5f7 g8f7 d1h5 e7g6 a1f1 f2d3 d2f3 b8b2 h2g1 d8d6 f3g5 f7e7 h5f3 d3e5 f3e4 f6g5 h4g5 d6c5 f1f5 c5c1 h3f1 c1c2 f5e5 g6e5 e4e5 e7f7 e5d5 f7g6 d5e6 g6g5 e6e7 g5h5 e7h4 h5g6 h4f4 c2h2,French,French e4 e6,2021,1
